index,element,element_id
1,E-mail Verified,
1,Made a Deposit,
1,Payment Verified,
2,E-mail Verified,1.0
2,Made a Deposit,
2,Payment Verified,
3,E-mail Verified,1.0
3,Made a Deposit,
3,Payment Verified,
4,E-mail Verified,1.0
4,Made a Deposit,
4,Payment Verified,
5,E-mail Verified,1.0
5,Made a Deposit,2.0
5,Payment Verified,3.0
6,E-mail Verified,
6,Made a Deposit,
6,Payment Verified,
7,E-mail Verified,1.0
7,Made a Deposit,
7,Payment Verified,
8,E-mail Verified,1.0
8,Made a Deposit,
8,Payment Verified,
9,E-mail Verified,1.0
9,Made a Deposit,
9,Payment Verified,
10,E-mail Verified,1.0
10,Made a Deposit,
10,Payment Verified,
11,E-mail Verified,1.0
11,Made a Deposit,2.0
11,Payment Verified,3.0
12,E-mail Verified,1.0
12,Made a Deposit,
12,Payment Verified,
13,E-mail Verified,1.0
13,Made a Deposit,
13,Payment Verified,3.0
14,E-mail Verified,1.0
14,Made a Deposit,
14,Payment Verified,
15,E-mail Verified,1.0
15,Made a Deposit,
15,Payment Verified,
16,E-mail Verified,1.0
16,Made a Deposit,
16,Payment Verified,
17,E-mail Verified,1.0
17,Made a Deposit,2.0
17,Payment Verified,3.0
18,E-mail Verified,1.0
18,Made a Deposit,
18,Payment Verified,
19,E-mail Verified,1.0
19,Made a Deposit,
19,Payment Verified,
20,E-mail Verified,
20,Made a Deposit,
20,Payment Verified,
21,E-mail Verified,1.0
21,Made a Deposit,2.0
21,Payment Verified,3.0
22,E-mail Verified,1.0
22,Made a Deposit,
22,Payment Verified,
23,E-mail Verified,
23,Made a Deposit,
23,Payment Verified,
24,E-mail Verified,1.0
24,Made a Deposit,2.0
24,Payment Verified,3.0
25,E-mail Verified,1.0
25,Made a Deposit,
25,Payment Verified,
26,E-mail Verified,1.0
26,Made a Deposit,2.0
26,Payment Verified,3.0
27,E-mail Verified,1.0
27,Made a Deposit,
27,Payment Verified,
28,E-mail Verified,1.0
28,Made a Deposit,
28,Payment Verified,
29,E-mail Verified,1.0
29,Made a Deposit,
29,Payment Verified,
30,E-mail Verified,
30,Made a Deposit,
30,Payment Verified,
31,E-mail Verified,1.0
31,Made a Deposit,
31,Payment Verified,
32,E-mail Verified,1.0
32,Made a Deposit,
32,Payment Verified,3.0
33,E-mail Verified,
33,Made a Deposit,
33,Payment Verified,
34,E-mail Verified,1.0
34,Made a Deposit,
34,Payment Verified,
35,E-mail Verified,
35,Made a Deposit,
35,Payment Verified,
36,E-mail Verified,1.0
36,Made a Deposit,2.0
36,Payment Verified,3.0
37,E-mail Verified,1.0
37,Made a Deposit,2.0
37,Payment Verified,3.0
38,E-mail Verified,1.0
38,Made a Deposit,
38,Payment Verified,
39,E-mail Verified,1.0
39,Made a Deposit,2.0
39,Payment Verified,3.0
40,E-mail Verified,1.0
40,Made a Deposit,
40,Payment Verified,
41,E-mail Verified,1.0
41,Made a Deposit,
41,Payment Verified,
42,E-mail Verified,1.0
42,Made a Deposit,2.0
42,Payment Verified,
43,E-mail Verified,1.0
43,Made a Deposit,
43,Payment Verified,
44,E-mail Verified,1.0
44,Made a Deposit,2.0
44,Payment Verified,3.0
45,E-mail Verified,1.0
45,Made a Deposit,
45,Payment Verified,
46,E-mail Verified,1.0
46,Made a Deposit,
46,Payment Verified,
47,E-mail Verified,1.0
47,Made a Deposit,2.0
47,Payment Verified,3.0
48,E-mail Verified,1.0
48,Made a Deposit,2.0
48,Payment Verified,3.0
49,E-mail Verified,1.0
49,Made a Deposit,2.0
49,Payment Verified,3.0
50,E-mail Verified,1.0
50,Made a Deposit,
50,Payment Verified,
